#Ncaso,Cu,Zr,Nroatomos,lx,ly,lz,Crate,T,UTS,Flow_Stress,E,Yield_strength,Resilence,Toughness,Poissonratio,Coord_1st,Coord_2nd,W_mean
65,63,37,27500,162,81,35.64,80000000000,270,2.34266,1.47165,57.4343,1.55177,0.02281,0.31615,0.40051,13.04,61.18,0.611
66,65,35,31200,243,84.24,25.92,80000000000,290,2.48814,1.43383,57.28078,1.74409,0.03021,0.31743,0.37594,13.09,61.83,0.614
67,43,57,27594,236.52,87.48,22.68,100000000000,230,2.11871,1.27718,51.4543,1.45988,0.0226,0.28876,0.43881,12.49,55.36,0.548
68,62,38,12880,181.44,74.52,16.2,20000000000,230,2.79767,1.59199,63.36551,1.82807,0.02901,0.36442,0.44681,12.99,60.96,0.616
69,47,53,29120,259.2,84.24,22.68,10000000000,110,2.79169,1.59641,59.10033,1.89186,0.03367,0.35774,0.39499,12.63,56.77,0.558
70,51,49,45240,168.48,93.96,48.6,20000000000,210,2.49184,1.49143,56.3961,1.75114,0.03053,0.32823,0.42799,12.72,57.7,0.562
71,41,59,18200,226.8,84.24,16.2,20000000000,290,2.29177,1.23355,54.13564,1.53141,0.02463,0.28403,0.34146,12.43,54.71,0.541
72,37,63,55380,230.04,97.2,42.12,10000000000,90,2.53017,1.51076,57.06582,1.7885,0.03129,0.34388,0.41832,12.39,54.05,0.551
73,42,58,23316,217.08,93.96,19.44,100000000000,130,2.26885,1.4951,57.02155,1.6327,0.0268,0.32205,0.42493,12.49,55.3,0.547
74,65,35,14280,165.24,90.72,16.2,40000000000,170,3.08458,1.74022,64.28162,2.05429,0.03745,0.40552,0.40285,13.1,62.06,0.627
75,56,44,21942,171.72,74.52,29.16,40000000000,270,2.4156,1.33033,56.5504,1.68979,0.02829,0.30667,0.43384,12.83,59.07,0.576
76,64,36,32256,207.36,90.72,29.16,80000000000,270,2.41012,1.48586,57.72063,1.73877,0.02975,0.32607,0.40337,13.07,61.53,0.614
77,46,54,38400,259.2,64.8,38.88,40000000000,170,2.36489,1.30029,54.3771,1.64949,0.02783,0.3094,0.42168,12.59,56.37,0.55
78,65,35,15680,181.44,64.8,22.68,100000000000,50,3.00779,1.89361,64.77328,2.02923,0.03559,0.42556,0.41436,13.13,62.24,0.631
79,64,36,49770,255.96,68.04,48.6,10000000000,130,3.1786,1.80336,67.28121,2.00344,0.03248,0.41897,0.39089,13.1,61.83,0.639
80,40,60,21252,249.48,74.52,19.44,20000000000,250,2.15214,1.29496,51.15725,1.67278,0.03048,0.28717,0.39788,12.43,54.59,0.543
81,53,47,48048,213.84,84.24,45.36,20000000000,190,2.52631,1.4793,57.87841,1.69781,0.02776,0.33685,0.41628,12.77,58.37,0.567
82,56,44,63000,243,97.2,45.36,40000000000,210,2.43823,1.4953,56.98167,1.80476,0.03207,0.32978,0.41547,12.86,59.2,0.578
83,43,57,56056,249.48,90.72,42.12,10000000000,170,2.46626,1.4047,56.70036,1.75605,0.03068,0.32692,0.41694,12.52,55.51,0.547
84,50,50,50400,259.2,68.04,48.6,100000000000,50,2.64216,1.6435,59.86312,1.70358,0.02743,0.36487,0.41407,12.7,57.69,0.565
85,63,37,37004,187.92,93.96,35.64,40000000000,130,2.8223,1.63948,60.86629,1.92575,0.03426,0.3795,0.42038,13.05,61.49,0.617
86,57,43,20790,178.2,87.48,22.68,100000000000,70,2.74146,1.79496,59.09265,1.9805,0.03755,0.37677,0.39287,12.89,59.71,0.583
87,39,61,46020,191.16,97.2,42.12,100000000000,290,1.89683,1.18133,48.77922,1.48213,0.02546,0.25375,0.39772,12.37,54.19,0.541
88,47,53,38766,230.04,68.04,42.12,80000000000,50,2.66633,1.62143,58.36696,1.87463,0.03391,0.36384,0.39897,12.63,56.84,0.559
89,42,58,19488,181.44,93.96,19.44,20000000000,210,2.35534,1.44696,53.94291,1.64709,0.028,0.31019,0.39539,12.48,55.17,0.543
90,49,51,29820,230.04,97.2,22.68,100000000000,150,2.37594,1.49881,56.05502,1.74179,0.03053,0.32162,0.39508,12.67,57.21,0.555
91,55,45,20706,165.24,93.96,22.68,10000000000,150,2.86254,1.88358,60.69196,1.99477,0.03561,0.37586,0.38186,12.84,59.03,0.583
92,36,64,15732,184.68,74.52,19.44,20000000000,70,2.74584,1.51303,57.56604,1.79584,0.03187,0.34852,0.37739,12.38,53.85,0.55
93,56,44,30800,162,71.28,45.36,40000000000,130,2.65887,1.58828,59.79979,1.80891,0.03048,0.35466,0.38996,12.86,59.32,0.583
94,48,52,16530,184.68,93.96,16.2,10000000000,250,2.42559,1.3043,55.86734,1.67265,0.02819,0.31195,0.38125,12.64,56.75,0.554
95,41,59,26280,236.52,97.2,19.44,10000000000,150,2.5693,1.39595,56.26824,1.81472,0.03244,0.32792,0.39844,12.48,55.03,0.549
96,58,42,29232,204.12,93.96,25.92,80000000000,290,2.21907,1.33615,56.31742,1.34895,0.01809,0.29937,0.41838,12.88,59.6,0.58
97,64,36,18172,191.16,71.28,22.68,100000000000,130,2.86866,1.75045,60.45558,1.98354,0.03704,0.37378,0.39611,13.07,61.73,0.615
98,63,37,47700,171.72,97.2,48.6,80000000000,250,2.37488,1.48328,56.9029,1.60598,0.02508,0.32383,0.41084,13.04,61.25,0.604
99,38,62,23936,220.32,71.28,25.92,80000000000,130,2.39711,1.32283,54.26254,1.80562,0.03342,0.31112,0.39115,12.41,54.19,0.546
100,49,51,15708,165.24,71.28,22.68,10000000000,230,2.53499,1.44624,57.30069,1.83391,0.03302,0.32316,0.40546,12.66,57.1,0.553
